,played_song_name,played_song_uri
0,example,example0,C'est La Vie,spotify:track:1oyYDQSd9QL06uwYw5F6vx
0,Hurricane,spotify:track:4YLrDf8qrpEfGo8Btndj08
0,Pink + White,spotify:track:3xKsf9qdS1CyvXSMEid6g8
0,Follow,spotify:track:2ftmsSOAFoVaH9YIw1NxWO
0,Revival,spotify:track:1k7lK8tjU5BPsXez7WEpg0
0,Garden Song,spotify:track:5uQRmdIqyMmKPWJcot4UmV
0,History Eraser,spotify:track:1KM7h4kz6oTrjSZX9AUXbL
0,I Bet You Look Good On The Dancefloor,spotify:track:3DQVgcqaP3iSMbaKsd57l5
0,Take What You Want (feat. Ozzy Osbourne & Travis Scott),spotify:track:7CZyCXKG6d5ALeq41sLzbw
0,Every Other Night,spotify:track:3103Bf9a8DVpwmS0TSeO1O
0,Girls Just Want to Have Fun,spotify:track:4Xmi5NF1gh6ACPO5fX9HbQ
0,Walking In The Dark,spotify:track:4XXeZ75Fb1olj58drECutq
0,Islands,spotify:track:0Rqwa6i410IwhTiugt6vXi
0,Prime Time of Your Life / Brainwasher / Rollin' & Scratchin' / Alive,spotify:track:3qVD67mL0JxgU0VQVKR52G
0,Figure It Out,spotify:track:3MjrueDQKVr6xDDseZwhEd
0,Summer Forgive Me,spotify:track:1YhEhUs3qCp60jWERzJwnO
0,Stay With Me,spotify:track:2LEEPpnf3e1YbsOKzQnj7r
0,Staring at the Sun,spotify:track:1mS5iPeIAMITH5U1kcB4MO
0,Help Me Lose My Mind,spotify:track:4FjT3dqUW2Uq0R3pMz5V7C
0,Hit the Back,spotify:track:3Arv0bXiHn3xNxe5YbqQOr
0,Home - Toro y Moi Remix,spotify:track:6YuKgMxa0XH6CC2khScuUV
0,Sleeping In - Remastered,spotify:track:0bWtmYrWat7IWlpx3rmuwc
0,My Old Man,spotify:track:4c7k0jGOFR1OraHvE3BszV
0,I Said I'm Sorry,spotify:track:0RVxvOTKkbZl9yR2hLSWJC
0,I Fall Apart,spotify:track:75ZvA4QfFiZvzhj2xkaWAh
0,Give Me All You Got,spotify:track:1VPJrAue6AUnlNZXnsXotD
0,So Soldier,spotify:track:08iWX11Pwi89iPstV5WZE4
0,Busy Earnin',spotify:track:7f7CxGj0kzfwT1SjciL3ft
0,Brianstorm,spotify:track:7f9I5WdyXm5q1XqnSYgQZb
0,Champion Sound - Alternative Mix,spotify:track:1QovEZWhDXKf7XAa5fmw29
0,Substitution,spotify:track:1ZqLkiXJqLekCP1oIMOQP7
0,Ya Mama (Push the Tempo) - Moguai Remix,spotify:track:657KHOfNOdscbXHlSsSn3Q
0,Pumped Up Kicks,spotify:track:7w87IxuO7BDcJ3YUqCyMTT
0,FUN!,spotify:track:41uX0L4bro4KfKtDIIEFFe
0,Avant Gardener,spotify:track:3LueS3mbuB1yaJNN0Ale6U
0,On Your Way Down,spotify:track:6ECcJlfjh2F1LJxe74qKnJ
0,When I'm Small,spotify:track:21nf6u3sQbfViHX7wNZmhK
0,Confess,spotify:track:3mKPBjLapWLnahIaJ3nZhQ
0,Chocolate Cake,spotify:track:5tF7znaljdYUx9q5zedQ2t
0,Situation Room,spotify:track:0Sys2SL01a2uD7nl9py1Po
